year,month,day,order,country,session ID,page 1 (main category),page 2 (clothing model),colour,location,model photography,price,price 2,page
2008,6,1,1,29,12148,4,P15,4,5,2,38,1,1
2008,6,1,2,29,12148,4,P12,4,4,1,33,2,1
2008,6,1,3,29,12148,4,P16,7,6,1,33,2,1
2008,6,1,4,29,12148,4,P33,9,5,1,43,1,2
2008,6,1,5,29,12148,4,P30,4,4,1,33,2,2
2008,6,1,6,29,12148,4,P51,9,5,1,28,2,3
2008,6,1,7,29,12148,4,P56,2,1,1,33,2,4
2008,6,1,8,29,12148,4,P51,9,5,1,28,2,3
2008,6,1,9,29,12148,3,C2,12,1,1,43,1,1
2008,6,1,10,29,12148,3,C13,9,5,1,48,1,1
2008,6,1,11,29,12148,3,C15,6,5,1,33,2,1
2008,6,1,12,29,12148,3,C11,7,4,1,33,2,1
2008,6,1,13,29,12148,4,P51,9,5,1,28,2,3
2008,6,1,14,29,12148,4,P12,4,4,1,33,2,1
2008,6,1,15,29,12148,4,P33,9,5,1,43,1,2
2008,6,1,16,29,12148,4,P51,9,5,1,28,2,3
2008,6,1,17,29,12148,4,P51,9,5,1,28,2,3
2008,6,1,1,29,12149,2,B2,3,1,2,57,1,1
2008,6,1,2,29,12149,2,B4,10,2,1,52,1,1
2008,6,1,1,29,12150,1,A18,4,6,1,38,2,1
2008,6,1,2,29,12150,1,A16,1,6,1,33,2,1
2008,6,1,3,29,12150,4,P4,4,2,1,38,1,1
2008,6,1,4,29,12150,4,P12,4,4,1,33,2,1
2008,6,1,5,29,12150,4,P9,4,3,2,23,2,1
2008,6,1,6,29,12150,1,A16,1,6,1,33,2,1
2008,6,1,7,29,12150,2,B9,1,3,1,48,2,1
2008,6,1,8,29,12150,2,B1,4,1,1,57,1,1
2008,6,1,9,29,12150,1,A15,14,5,2,33,2,1
2008,6,1,10,29,12150,1,A31,6,5,2,62,1,2
2008,6,1,11,29,12150,1,A33,1,5,1,38,2,2
2008,6,1,12,29,12150,1,A36,1,6,1,33,2,2
2008,6,1,13,29,12150,1,A22,4,2,1,62,1,2
2008,6,1,14,29,12150,4,P9,4,3,2,23,2,1
2008,6,1,15,29,12150,3,C12,14,4,1,43,1,1
2008,6,1,1,9,12151,1,A15,14,5,2,33,2,1
2008,6,1,1,9,12152,1,A9,3,3,1,82,1,1
2008,6,1,1,24,12153,2,B24,11,2,1,57,1,2
2008,6,1,2,24,12153,2,B26,13,3,1,57,1,2
2008,6,1,3,24,12153,2,B24,11,2,1,57,1,2
2008,6,1,4,24,12153,2,B16,12,6,1,52,1,1
2008,6,1,5,24,12153,2,B17,6,6,2,38,2,1
2008,6,1,6,24,12153,2,B24,11,2,1,57,1,2
2008,6,1,7,24,12153,2,B24,11,2,1,57,1,2
2008,6,1,1,29,12154,1,A4,3,2,2,38,2,1
2008,6,1,2,29,12154,4,P16,7,6,1,33,2,1
2008,6,1,3,29,12154,4,P15,4,5,2,38,1,1
2008,6,1,4,29,12154,1,A4,3,2,2,38,2,1
2008,6,1,1,29,12155,2,B8,4,3,2,52,1,1
2008,6,1,1,29,12156,3,C33,14,5,1,48,1,2
2008,6,1,2,29,12156,3,C34,7,6,1,48,1,2
2008,6,1,3,29,12156,4,P12,4,4,1,33,2,1
2008,6,1,4,29,12156,4,P20,7,1,1,23,2,2
2008,6,1,5,29,12156,4,P21,4,1,1,33,2,2
2008,6,1,6,29,12156,4,P48,9,4,2,33,2,3
2008,6,1,7,29,12156,4,P49,14,5,1,33,2,3
2008,6,1,8,29,12156,4,P55,14,1,2,33,2,4
2008,6,1,9,29,12156,4,P61,1,3,2,28,2,4
2008,6,1,10,29,12156,4,P76,2,2,2,43,1,5
2008,6,1,11,29,12156,4,P77,7,2,1,43,1,5
2008,6,1,12,29,12156,4,P49,14,5,1,33,2,3
2008,6,1,13,29,12156,4,P49,14,5,1,33,2,3
2008,6,1,1,29,12157,2,B14,2,5,1,62,1,1
2008,6,1,2,29,12157,2,B10,2,4,1,67,1,1
2008,6,1,3,29,12157,2,B26,13,3,1,57,1,2
2008,6,1,4,29,12157,2,B16,12,6,1,52,1,1
