year,month,day,order,country,session ID,page 1 (main category),page 2 (clothing model),colour,location,model photography,price,price 2,page
2008,7,1,1,9,17032,2,B4,10,2,1,52,1,1
2008,7,1,2,9,17032,2,B7,6,3,1,38,2,1
2008,7,1,1,29,17033,1,A11,3,4,1,62,1,1
2008,7,1,2,29,17033,1,A11,3,4,1,62,1,1
2008,7,1,1,29,17034,2,B30,9,4,1,57,1,2
2008,7,1,2,29,17034,2,B28,9,4,1,38,2,2
2008,7,1,1,29,17035,1,A1,8,1,1,28,2,1
2008,7,1,2,29,17035,1,A2,3,1,1,43,2,1
2008,7,1,3,29,17035,1,A7,3,3,1,43,2,1
2008,7,1,4,29,17035,1,A8,3,3,1,62,1,1
2008,7,1,5,29,17035,1,A9,3,3,1,82,1,1
2008,7,1,6,29,17035,1,A10,3,4,1,38,2,1
2008,7,1,7,29,17035,1,A11,3,4,1,62,1,1
2008,7,1,8,29,17035,1,A14,3,5,1,60,1,1
2008,7,1,9,29,17035,1,A15,14,5,2,33,2,1
2008,7,1,10,29,17035,2,B11,2,4,1,43,2,1
2008,7,1,11,29,17035,2,B9,1,3,1,48,2,1
2008,7,1,12,29,17035,2,B17,6,6,2,38,2,1
2008,7,1,13,29,17035,4,P72,14,6,1,33,2,4
2008,7,1,14,29,17035,1,A21,1,1,1,62,1,2
2008,7,1,15,29,17035,1,A23,6,2,2,33,2,2
2008,7,1,16,29,17035,1,A24,2,2,1,48,1,2
2008,7,1,17,29,17035,1,A35,14,6,2,33,2,2
2008,7,1,18,29,17035,1,A41,4,2,1,43,2,3
2008,7,1,19,29,17035,3,C30,2,4,2,28,2,2
2008,7,1,20,29,17035,3,C49,4,5,2,26,2,3
2008,7,1,21,29,17035,3,C50,9,5,2,20,2,3
2008,7,1,22,29,17035,1,A35,14,6,2,33,2,2
2008,7,1,1,29,17036,1,A4,3,2,2,38,2,1
2008,7,1,2,29,17036,1,A4,3,2,2,38,2,1
2008,7,1,3,29,17036,1,A16,1,6,1,33,2,1
2008,7,1,4,29,17036,1,A4,3,2,2,38,2,1
2008,7,1,5,29,17036,1,A15,14,5,2,33,2,1
2008,7,1,6,29,17036,1,A21,1,1,1,62,1,2
2008,7,1,7,29,17036,1,A9,3,3,1,82,1,1
2008,7,1,8,29,17036,1,A4,3,2,2,38,2,1
2008,7,1,9,29,17036,1,A6,3,2,1,43,2,1
2008,7,1,10,29,17036,3,C50,9,5,2,20,2,3
2008,7,1,11,29,17036,4,P1,3,1,1,38,1,1
2008,7,1,12,29,17036,4,P2,3,1,1,28,2,1
2008,7,1,13,29,17036,4,P13,4,5,1,38,1,1
2008,7,1,14,29,17036,4,P7,4,3,2,28,2,1
2008,7,1,15,29,17036,4,P38,9,1,1,33,2,3
2008,7,1,16,29,17036,4,P4,4,2,1,38,1,1
2008,7,1,17,29,17036,4,P4,4,2,1,38,1,1
2008,7,1,1,29,17037,2,B4,10,2,1,52,1,1
2008,7,1,2,29,17037,2,B1,4,1,1,57,1,1
2008,7,1,1,29,17038,1,A4,3,2,2,38,2,1
